M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,value_type,Type,Strides,TransactionByte,WordSize
40000,40000,  0.024700,10,2.000000,80000,51.822024,6.477733,4,CUSPARSE,79093,128,32
40000,40000,  0.059800,10,4.000000,160000,37.458261,5.351171,4,CUSP,158068,128,32
40000,40000,  0.030900,10,4.000000,160000,72.492039,10.355987,4,CUSPARSE,158068,128,32
40000,40000,  0.111000,10,8.000000,320000,37.477514,5.765766,4,CUSP,316220,128,32
40000,40000,  0.053300,10,8.000000,320000,78.048856,12.007505,4,CUSPARSE,316220,128,32
40000,40000,  0.213600,10,16.000000,640000,37.453202,5.992509,4,CUSP,632088,128,32
40000,40000,  0.094800,10,16.000000,640000,84.388228,13.502110,4,CUSPARSE,632088,128,32
40000,40000,  0.429400,10,32.000000,1280000,36.516078,5.961807,4,CUSP,1264227,128,32
40000,40000,  0.158900,10,32.000000,1280000,98.678439,16.110761,4,CUSPARSE,1264227,128,32
40000,40000,  0.733100,10,64.000000,2560000,42.340750,6.984040,4,CUSP,2528652,128,32
40000,40000,  0.318000,10,64.000000,2560000,97.610075,16.100629,4,CUSPARSE,2528652,128,32
40000,40000,  1.353200,10,128.000000,5120000,45.639967,7.567248,4,CUSP,5056835,128,32
40000,40000,  0.550300,10,128.000000,5120000,112.229700,18.608032,4,CUSPARSE,5056835,128,32
42000,42000,  0.024200,10,1.000000,42000,34.710909,3.471074,4,CUSP,41450,128,32
42000,42000,  0.024800,10,1.000000,42000,33.871129,3.387097,4,CUSPARSE,41450,128,32
42000,42000,  0.034500,10,2.000000,84000,38.956638,4.869565,4,CUSP,83007,128,32
42000,42000,  0.025700,10,2.000000,84000,52.295875,6.536965,4,CUSPARSE,83007,128,32
42000,42000,  0.062500,10,4.000000,168000,37.632064,5.376000,4,CUSP,166076,128,32
42000,42000,  0.031500,10,4.000000,168000,74.666794,10.666667,4,CUSPARSE,166076,128,32
42000,42000,  0.116500,10,8.000000,336000,37.493597,5.768240,4,CUSP,332116,128,32
42000,42000,  0.055500,10,8.000000,336000,78.702775,12.108108,4,CUSPARSE,332116,128,32
42000,42000,  0.224400,10,16.000000,672000,37.433173,5.989305,4,CUSP,664015,128,32
42000,42000,  0.098000,10,16.000000,672000,85.714327,13.714286,4,CUSPARSE,664015,128,32
42000,42000,  0.449300,10,32.000000,1344000,36.643677,5.982640,4,CUSP,1328442,128,32
42000,42000,  0.167700,10,32.000000,1344000,98.175337,16.028623,4,CUSPARSE,1328442,128,32
42000,42000,  0.769800,10,64.000000,2688000,42.338275,6.983632,4,CUSP,2656520,128,32
42000,42000,  0.333000,10,64.000000,2688000,97.873886,16.144144,4,CUSPARSE,2656520,128,32
42000,42000,  1.421300,10,128.000000,5376000,45.625838,7.564905,4,CUSP,5313407,128,32
42000,42000,  0.576600,10,128.000000,5376000,112.466188,18.647242,4,CUSPARSE,5313407,128,32
44000,44000,  0.025800,10,1.000000,44000,34.108682,3.410853,4,CUSP,43506,128,32
44000,44000,  0.025400,10,1.000000,44000,34.645827,3.464567,4,CUSPARSE,43506,128,32
44000,44000,  0.035100,10,2.000000,88000,40.114074,5.014245,4,CUSP,86997,128,32
44000,44000,  0.025600,10,2.000000,88000,55.000156,6.875000,4,CUSPARSE,86997,128,32
44000,44000,  0.065500,10,4.000000,176000,37.618382,5.374046,4,CUSP,173998,128,32
44000,44000,  0.032300,10,4.000000,176000,76.284954,10.897833,4,CUSPARSE,173998,128,32
44000,44000,  0.133800,10,8.000000,352000,34.200329,5.261584,4,CUSP,348034,128,32
44000,44000,  0.062400,10,8.000000,352000,73.333397,11.282051,4,CUSPARSE,348034,128,32
44000,44000,  0.234700,10,16.000000,704000,37.494691,5.999148,4,CUSP,696173,128,32
44000,44000,  0.101400,10,16.000000,704000,86.785049,13.885602,4,CUSPARSE,696173,128,32
